yrkeskode;yrke;hk_prob;hk_antall;antall;rel_prob
8350;Dekks- og maskinmannskap (skip);0;0;351;0
9111;Renholdere i private hjem;0;0;175;0
9112;Renholdere i bedrifter;0;0;3880;0
9122;Bilvaskere;0;0;385;0
9123;Vinduspussere;0;0;17;0
9129;Andre rengjørere;0;0;14;0
9211;Hjelpearbeidere i nyttevekstproduksjon;0;0;3;0
9212;Hjelpearbeidere i husdyrproduksjon;0;0;36;0
9213;Hjelpearbeidere (gårdsbruk/landbruk);0;0;6;0
9214;Hjelpearbeidere i gartneri mv.;0;0;117;0
9215;Hjelpearbeidere i skogbruk;0;0;1;0
9216;Hjelpearbeidere innen havbruk;0;0;12;0
9311;Hjelpearbeidere i bergverk;0;0;6;0
9312;Hjelpearbeidere i anlegg;0;0;1033;0
9313;Hjelpearbeidere i bygg;0;0;508;0
9321;Håndpakkere mv.;0;0;51;0
9329;Andre hjelpearbeidere i industri;0;0;130;0
9333;Laste- og lossearbeidere;0;0;252;0
9334;Varepåfyllere;0;0;44;0
9412;Kjøkkenassistenter;0;0;1940;0
9510;Reklamedistributører mv.;0;0;36;0
9611;Renovasjonsarbeidere;0;0;471;0
9612;Gjenvinningsarbeidere;0;0;67;0
9613;Gatefeiere mv.;0;0;5;0
9621;Bud mv.;0;0;183;0
9622;Altmuligmann;0;0;60;0
9623;Måleravlesere mv.;0;0;7;0
9629;Andre hjelpearbeidere;0;0;121;0
